StartTime,SettlementDate,SettlementPeriod,Boundary,PublishTime,TransmissionSystemDemand,NationalDemand
2025-08-03T23:00:00Z,2025-08-04,1,N,2025-08-03T22:47:00Z,20943,19900
2025-08-03T23:30:00Z,2025-08-04,2,N,2025-08-03T23:16:00Z,20461,19703
2025-08-04T00:00:00Z,2025-08-04,3,N,2025-08-03T23:46:00Z,19947,19310
2025-08-04T00:30:00Z,2025-08-04,4,N,2025-08-04T00:16:00Z,19500,
2025-08-04T01:00:00Z,2025-08-04,5,N,2025-08-04T00:46:00Z,18859,18359
2025-08-04T01:30:00Z,2025-08-04,6,N,2025-08-04T01:16:00Z,18514,18014
2025-08-04T02:00:00Z,2025-08-04,7,N,2025-08-04T01:46:00Z,18065,17182
2025-08-04T02:30:00Z,2025-08-04,8,N,2025-08-04T02:16:00Z,18652,17769
2025-08-04T03:00:00Z,2025-08-04,9,N,2025-08-04T02:46:00Z,19521,17635
2025-08-04T03:30:00Z,2025-08-04,10,N,2025-08-04T03:16:00Z,19386,17500
2025-08-04T04:00:00Z,2025-08-04,11,N,2025-08-04T03:46:00Z,20800,17621
2025-08-04T04:30:00Z,2025-08-04,12,N,2025-08-04T04:16:00Z,21014,17835
2025-08-04T05:00:00Z,2025-08-04,13,N,2025-08-04T04:46:00Z,21981,19312
2025-08-04T05:30:00Z,2025-08-04,14,N,2025-08-04T05:16:00Z,23006,20337
2025-08-04T06:00:00Z,2025-08-04,15,N,2025-08-04T05:46:00Z,24266,21777
2025-08-04T06:30:00Z,2025-08-04,16,N,2025-08-04T06:16:00Z,24789,22300
2025-08-04T07:00:00Z,2025-08-04,17,N,2025-08-04T06:46:00Z,26075,23564
2025-08-04T07:30:00Z,2025-08-04,18,N,2025-08-04T07:16:00Z,26484,23973
2025-08-04T08:00:00Z,2025-08-04,19,N,2025-08-04T07:16:00Z,27641,24200
2025-08-04T08:30:00Z,2025-08-04,20,N,2025-08-04T08:16:00Z,27456,24015
2025-08-04T09:00:00Z,2025-08-04,21,N,2025-08-04T08:46:00Z,27359,23889
2025-08-04T09:30:00Z,2025-08-04,22,N,2025-08-04T08:46:00Z,27173,23480
2025-08-04T10:00:00Z,2025-08-04,23,N,2025-08-04T08:46:00Z,26071,23284
2025-08-04T10:30:00Z,2025-08-04,24,N,2025-08-04T08:46:00Z,26104,23167
2025-08-04T11:00:00Z,2025-08-04,25,N,2025-08-04T08:46:00Z,25827,23300
2025-08-04T11:30:00Z,2025-08-04,26,N,2025-08-04T08:46:00Z,25500,22900
2025-08-04T12:00:00Z,2025-08-04,27,N,2025-08-04T08:46:00Z,25319,22387
2025-08-04T12:30:00Z,2025-08-04,28,N,2025-08-04T08:46:00Z,24760,21833
2025-08-04T13:00:00Z,2025-08-04,29,N,2025-08-04T08:46:00Z,24741,21782
2025-08-04T13:30:00Z,2025-08-04,30,N,2025-08-04T08:46:00Z,24767,21700
2025-08-04T14:00:00Z,2025-08-04,31,N,2025-08-04T08:46:00Z,25280,21717
2025-08-04T14:30:00Z,2025-08-04,32,N,2025-08-04T08:46:00Z,25521,22012
2025-08-04T15:00:00Z,2025-08-04,33,N,2025-08-04T08:46:00Z,25920,22203
2025-08-04T15:30:00Z,2025-08-04,34,N,2025-08-04T08:46:00Z,26447,22928
2025-08-04T16:00:00Z,2025-08-04,35,N,2025-08-04T08:46:00Z,27001,23664
2025-08-04T16:30:00Z,2025-08-04,36,N,2025-08-04T08:46:00Z,27445,24113
2025-08-04T17:00:00Z,2025-08-04,37,N,2025-08-04T08:46:00Z,26795,24291
2025-08-04T17:30:00Z,2025-08-04,38,N,2025-08-04T08:46:00Z,26904,24400
2025-08-04T18:00:00Z,2025-08-04,39,N,2025-08-04T08:46:00Z,27030,24379
2025-08-04T18:30:00Z,2025-08-04,40,N,2025-08-04T08:46:00Z,27251,24600
2025-08-04T19:00:00Z,2025-08-04,41,N,2025-08-04T08:46:00Z,26004,24252
2025-08-04T19:30:00Z,2025-08-04,42,N,2025-08-04T08:46:00Z,25396,23644
2025-08-04T20:00:00Z,2025-08-04,43,N,2025-08-04T08:46:00Z,25051,23202
2025-08-04T20:30:00Z,2025-08-04,44,N,2025-08-04T08:46:00Z,24377,22454
2025-08-04T21:00:00Z,2025-08-04,45,N,2025-08-04T08:46:00Z,23712,21406
2025-08-04T21:30:00Z,2025-08-04,46,N,2025-08-04T08:46:00Z,22511,20176
2025-08-04T22:00:00Z,2025-08-04,47,N,2025-08-04T08:46:00Z,19506,19001
2025-08-04T22:30:00Z,2025-08-04,48,N,2025-08-04T08:46:00Z,18695,18190
2025-08-04T23:00:00Z,2025-08-05,1,N,2025-08-04T08:46:00Z,18155,17650
2025-08-04T23:30:00Z,2025-08-05,2,N,2025-08-04T08:46:00Z,17937,17432
2025-08-05T00:00:00Z,2025-08-05,3,N,2025-08-04T08:46:00Z,17580,17075
2025-08-05T00:30:00Z,2025-08-05,4,N,2025-08-04T08:46:00Z,17415,16910
2025-08-05T01:00:00Z,2025-08-05,5,N,2025-08-04T08:46:00Z,17030,16525
2025-08-05T01:30:00Z,2025-08-05,6,N,2025-08-04T08:46:00Z,16712,16207
2025-08-05T02:00:00Z,2025-08-05,7,N,2025-08-04T08:46:00Z,16530,16025
2025-08-05T02:30:00Z,2025-08-05,8,N,2025-08-04T08:46:00Z,16243,15738
2025-08-05T03:00:00Z,2025-08-05,9,N,2025-08-04T08:46:00Z,16018,15513
2025-08-05T03:30:00Z,2025-08-05,10,N,2025-08-04T08:46:00Z,16008,15503
2025-08-05T04:00:00Z,2025-08-05,11,N,2025-08-04T07:45:00Z,15860,15360
2025-08-05T04:30:00Z,2025-08-05,12,N,2025-08-04T07:45:00Z,16144,15644
2025-08-05T05:00:00Z,2025-08-05,13,N,2025-08-04T07:45:00Z,17367,16867
2025-08-05T05:30:00Z,2025-08-05,14,N,2025-08-04T07:45:00Z,18079,17579
2025-08-05T06:00:00Z,2025-08-05,15,N,2025-08-04T07:45:00Z,18882,18382
2025-08-05T06:30:00Z,2025-08-05,16,N,2025-08-04T07:45:00Z,19660,19160
2025-08-05T07:00:00Z,2025-08-05,17,N,2025-08-04T07:45:00Z,20525,20025
2025-08-05T07:30:00Z,2025-08-05,18,N,2025-08-04T07:45:00Z,20700,20200
2025-08-05T08:00:00Z,2025-08-05,19,N,2025-08-04T07:45:00Z,20452,19952
2025-08-05T08:30:00Z,2025-08-05,20,N,2025-08-04T07:45:00Z,20059,19559
2025-08-05T09:00:00Z,2025-08-05,21,N,2025-08-04T07:45:00Z,19554,19054
2025-08-05T09:30:00Z,2025-08-05,22,N,2025-08-04T07:45:00Z,18921,18421
2025-08-05T10:00:00Z,2025-08-05,23,N,2025-08-04T07:45:00Z,18471,17971
2025-08-05T10:30:00Z,2025-08-05,24,N,2025-08-04T07:45:00Z,18078,17578
2025-08-05T11:00:00Z,2025-08-05,25,N,2025-08-04T07:45:00Z,17930,17430
2025-08-05T11:30:00Z,2025-08-05,26,N,2025-08-04T07:45:00Z,17767,17267
2025-08-05T12:00:00Z,2025-08-05,27,N,2025-08-04T07:45:00Z,17572,17072
2025-08-05T12:30:00Z,2025-08-05,28,N,2025-08-04T07:45:00Z,17321,16821
2025-08-05T13:00:00Z,2025-08-05,29,N,2025-08-04T07:45:00Z,16980,16480
2025-08-05T13:30:00Z,2025-08-05,30,N,2025-08-04T07:45:00Z,17402,16902
2025-08-05T14:00:00Z,2025-08-05,31,N,2025-08-04T07:45:00Z,17870,17370
2025-08-05T14:30:00Z,2025-08-05,32,N,2025-08-04T07:45:00Z,18578,18078
2025-08-05T15:00:00Z,2025-08-05,33,N,2025-08-04T07:45:00Z,19237,18737
