RecordType,StartTime,Demand
VD,2017-01-01T00:00:00Z,27890
VD,2017-01-01T00:05:00Z,28135
VD,2017-01-01T00:10:00Z,28215
VD,2017-01-01T00:15:00Z,28329
VD,2017-01-01T00:20:00Z,28541
VD,2017-01-01T00:25:00Z,28532
VD,2017-01-01T00:30:00Z,28595
VD,2017-01-01T00:35:00Z,28762
VD,2017-01-01T00:40:00Z,28789
VD,2017-01-01T00:45:00Z,28789
VD,2017-01-01T00:50:00Z,28718
VD,2017-01-01T00:55:00Z,28711
VD,2017-01-01T01:00:00Z,28757
VD,2017-01-01T01:05:00Z,28617
VD,2017-01-01T01:10:00Z,28455
VD,2017-01-01T01:15:00Z,28293
VD,2017-01-01T01:20:00Z,28264
VD,2017-01-01T01:25:00Z,28270
VD,2017-01-01T01:30:00Z,28182
VD,2017-01-01T01:35:00Z,28165
VD,2017-01-01T01:40:00Z,28094
VD,2017-01-01T01:45:00Z,27889
VD,2017-01-01T01:50:00Z,27777
VD,2017-01-01T01:55:00Z,27835
VD,2017-01-01T02:00:00Z,27950
VD,2017-01-01T02:05:00Z,27894
VD,2017-01-01T02:10:00Z,27900
VD,2017-01-01T02:15:00Z,27757
VD,2017-01-01T02:20:00Z,27551
VD,2017-01-01T02:25:00Z,27418
VD,2017-01-01T02:30:00Z,27331
VD,2017-01-01T02:35:00Z,27135
VD,2017-01-01T02:40:00Z,26967
VD,2017-01-01T02:45:00Z,26779
VD,2017-01-01T02:50:00Z,26585
VD,2017-01-01T02:55:00Z,26502
VD,2017-01-01T03:00:00Z,26570
VD,2017-01-01T03:05:00Z,26409
VD,2017-01-01T03:10:00Z,26256
VD,2017-01-01T03:15:00Z,26077
VD,2017-01-01T03:20:00Z,25900
VD,2017-01-01T03:25:00Z,25869
VD,2017-01-01T03:30:00Z,25954
VD,2017-01-01T03:35:00Z,25858
VD,2017-01-01T03:40:00Z,25723
VD,2017-01-01T03:45:00Z,25644
VD,2017-01-01T03:50:00Z,25609
VD,2017-01-01T03:55:00Z,25515
VD,2017-01-01T04:00:00Z,25430
VD,2017-01-01T04:05:00Z,25220
VD,2017-01-01T04:10:00Z,24928
VD,2017-01-01T04:15:00Z,24956
VD,2017-01-01T04:20:00Z,25145
VD,2017-01-01T04:25:00Z,25077
VD,2017-01-01T04:30:00Z,25083
VD,2017-01-01T04:35:00Z,24987
VD,2017-01-01T04:40:00Z,24897
VD,2017-01-01T04:45:00Z,24875
VD,2017-01-01T04:50:00Z,24844
VD,2017-01-01T04:55:00Z,24796
VD,2017-01-01T05:00:00Z,24807
VD,2017-01-01T05:05:00Z,24782
VD,2017-01-01T05:10:00Z,24752
VD,2017-01-01T05:15:00Z,24699
VD,2017-01-01T05:20:00Z,24651
VD,2017-01-01T05:25:00Z,24645
VD,2017-01-01T05:30:00Z,24675
VD,2017-01-01T05:35:00Z,24639
VD,2017-01-01T05:40:00Z,24587
VD,2017-01-01T05:45:00Z,24564
VD,2017-01-01T05:50:00Z,24516
VD,2017-01-01T05:55:00Z,24500
VD,2017-01-01T06:00:00Z,24605
VD,2017-01-01T06:05:00Z,24819
VD,2017-01-01T06:10:00Z,24991
VD,2017-01-01T06:15:00Z,25022
VD,2017-01-01T06:20:00Z,25022
VD,2017-01-01T06:25:00Z,25027
VD,2017-01-01T06:30:00Z,24968
VD,2017-01-01T06:35:00Z,24958
VD,2017-01-01T06:40:00Z,24809
VD,2017-01-01T06:45:00Z,24828
VD,2017-01-01T06:50:00Z,24993
VD,2017-01-01T06:55:00Z,25269
VD,2017-01-01T07:00:00Z,25354
VD,2017-01-01T07:05:00Z,25374
VD,2017-01-01T07:10:00Z,25415
VD,2017-01-01T07:15:00Z,25366
VD,2017-01-01T07:20:00Z,25140
VD,2017-01-01T07:25:00Z,24968
VD,2017-01-01T07:30:00Z,24556
VD,2017-01-01T07:35:00Z,24520
VD,2017-01-01T07:40:00Z,24595
VD,2017-01-01T07:45:00Z,24645
VD,2017-01-01T07:50:00Z,24734
VD,2017-01-01T07:55:00Z,24747
VD,2017-01-01T08:00:00Z,24517
VD,2017-01-01T08:05:00Z,24588
VD,2017-01-01T08:10:00Z,24681
VD,2017-01-01T08:15:00Z,24799
VD,2017-01-01T08:20:00Z,24934
VD,2017-01-01T08:25:00Z,25045
VD,2017-01-01T08:30:00Z,25230
VD,2017-01-01T08:35:00Z,25399
VD,2017-01-01T08:40:00Z,25550
VD,2017-01-01T08:45:00Z,25768
VD,2017-01-01T08:50:00Z,25999
VD,2017-01-01T08:55:00Z,26121
VD,2017-01-01T09:00:00Z,26222
VD,2017-01-01T09:05:00Z,26471
VD,2017-01-01T09:10:00Z,26705
VD,2017-01-01T09:15:00Z,26975
